model,cv_f1_macro,cv_f1_macro_std,cv_f1_weighted,cv_accuracy,fit_seconds
word + char 2-4gram + surface + LinearSVC,0.6274325473120517,0.012468912898679968,0.6273390324684227,0.626973006886151,10.5
word + char 2-4gram + LinearSVC,0.625955206491031,0.01329194063058443,0.6258721795361089,0.6258552336083179,10.2
word + char 2-4gram + surface + soft-vote ensemble,0.6199630622336233,0.02303466791394818,0.6199231053763115,0.6206138650765303,17.1
word + char 2-4gram + surface + LogisticRegression,0.6188758623917281,0.0192758387265204,0.6187790615911379,0.6179761982352254,15.2
char 2-4gram + LinearSVC,0.6092300277240731,0.013809657228182615,0.6092192191775537,0.6096115235038047,8.2
char 3-5gram + LinearSVC,0.6054602262667818,0.015748051025649877,0.6054464705249245,0.6063014960578049,7.8
word + char 2-4gram + ComplementNB,0.5968462400659222,0.02287361023690005,0.5967482506587377,0.600518894982798,9.0
word + char 2-4gram + surface + SGD (modified huber),0.5900407275935271,0.014061212438737944,0.5899444155105671,0.5885629784054032,10.1
word 1-2gram + LinearSVC,0.5892589187686684,0.01712551492029037,0.5891418330712487,0.5894612326892993,3.9
baseline: stratified guess,0.33686732915337136,0.013173208692517133,0.3370172165489277,0.3369661369991398,3.8
