model,cv_f1_macro,cv_f1_macro_std,cv_f1_weighted,cv_accuracy,fit_seconds
char 2-3gram + LinearSVC,0.9170579382763032,0.018041437244276672,0.9825167343550598,0.9832713279458073,9.7
char 3-5gram + LinearSVC,0.8463514579923281,0.034923010056808486,0.9690615040682768,0.9724691476172405,13.9
word + char 2-3gram + surface + LinearSVC,0.8180871744314281,0.032586080991683454,0.9643166221899495,0.9677735543083568,22.8
word + char 2-3gram + surface + LogisticRegression,0.8163797165304555,0.03185096589317412,0.963816318847846,0.9673605794139115,12.6
word + char 2-3gram + LinearSVC,0.8157833564873547,0.03256222239874118,0.9639415247922309,0.9674918521503553,17.8
word + char 2-3gram + surface + SGD (modified huber),0.8136383936903663,0.02358347667392946,0.9592067976267016,0.962366691684091,8.7
word + char 2-3gram + surface + soft-vote ensemble,0.7733375402657389,0.026552265947824474,0.9556459560322157,0.9608372022022135,43.2
word 1-2gram + LinearSVC,0.5837173319535627,0.03236042998090767,0.9028861386257268,0.9199987362918941,5.7
word + char 2-3gram + ComplementNB,0.41971266889627235,0.028999077791598823,0.8533771491163925,0.8884141130561083,7.6
baseline: stratified guess,0.2646477299415864,0.010846897187124522,0.7600398326918772,0.7626435425764043,3.8
