date,delay_domain,n,sentiment_mean,sentiment_weighted,negative_share,engagement_sum,engagement_mean,rating_mean,delay_share
2026-08-06,,2,-1.0,-0.6706,1.0,1,0.5,,1.0
2026-08-06,airline,1,1.0,0.3836,0.0,0,0.0,4.0,1.0
2026-08-06,ecommerce,17,-0.7647058823529411,-0.5711941176470589,0.8823529411764706,21,1.2352941176470589,1.9411764705882353,1.0
2026-08-06,food_delivery,23,-0.782608695652174,-0.5825652173913043,0.8260869565217391,34,1.4782608695652173,1.2608695652173914,1.0
2026-08-06,parcel_courier,3,-1.0,-0.7955666666666668,1.0,0,0.0,1.3333333333333333,1.0
2026-08-06,quick_commerce,7,-1.0,-0.7733142857142857,1.0,7,1.0,1.2857142857142858,1.0
2026-08-06,ride_hailing,8,-0.875,-0.646575,0.875,9,1.125,1.0,1.0
2026-08-06,telecom_isp,6,-0.5,-0.369,0.5,10,1.6666666666666667,2.3333333333333335,1.0
2026-08-07,telecom_isp,17,-0.5294117647058824,-0.4208,0.7058823529411765,32,1.8823529411764706,1.1764705882352942,1.0
2026-08-07,ride_hailing,29,-0.7586206896551724,-0.574803448275862,0.8275862068965517,20,0.6896551724137931,1.7241379310344827,1.0
2026-08-07,quick_commerce,24,-0.875,-0.6852083333333333,0.9166666666666666,11,0.4583333333333333,1.4166666666666667,1.0
2026-08-07,parcel_courier,6,-0.8333333333333334,-0.5927333333333333,0.8333333333333334,4,0.6666666666666666,1.8,1.0
2026-08-07,airline,1,-1.0,-0.8596,1.0,0,0.0,1.0,1.0
2026-08-07,ecommerce,52,-0.7884615384615384,-0.5973788461538462,0.8846153846153846,107,2.0576923076923075,1.8846153846153846,1.0
2026-08-07,,12,-0.6666666666666666,-0.4895,0.75,8,0.6666666666666666,,1.0
2026-08-07,food_delivery,84,-0.7857142857142857,-0.6402523809523809,0.8214285714285714,225,2.6785714285714284,1.2738095238095237,1.0
2026-08-08,ride_hailing,21,-0.6190476190476191,-0.4278571428571428,0.7619047619047619,22,1.0476190476190477,1.7619047619047619,1.0
2026-08-08,telecom_isp,16,-0.75,-0.54474375,0.8125,20,1.25,1.3125,1.0
2026-08-08,quick_commerce,32,-0.6875,-0.589884375,0.78125,31,0.96875,1.21875,1.0
2026-08-08,parcel_courier,7,-0.42857142857142855,-0.3120857142857143,0.7142857142857143,3,0.42857142857142855,1.6,1.0
2026-08-08,ecommerce,61,-0.6557377049180327,-0.5192754098360656,0.8032786885245902,117,1.9180327868852458,2.0,1.0
2026-08-08,airline,3,-0.3333333333333333,-0.26563333333333333,0.6666666666666666,3,1.0,1.3333333333333333,1.0
2026-08-08,,6,-0.6666666666666666,-0.43050000000000005,0.8333333333333334,12,2.0,,1.0
2026-08-08,food_delivery,95,-0.7789473684210526,-0.6006378947368421,0.8526315789473684,139,1.4631578947368422,1.3789473684210527,1.0
2026-08-09,telecom_isp,19,-0.7368421052631579,-0.5521684210526316,0.8421052631578947,12,0.631578947368421,1.2105263157894737,1.0
2026-08-09,quick_commerce,29,-0.5172413793103449,-0.42004137931034485,0.6206896551724138,12,0.41379310344827586,1.4137931034482758,1.0
2026-08-09,food_delivery,80,-0.9125,-0.66398625,0.9375,91,1.1375,1.35,1.0
2026-08-09,ride_hailing,23,-0.6521739130434783,-0.4533173913043478,0.782608695652174,9,0.391304347826087,1.391304347826087,1.0
2026-08-09,airline,3,-0.3333333333333333,-0.20103333333333331,0.6666666666666666,0,0.0,2.0,1.0
2026-08-09,,6,-0.5,-0.4098,0.6666666666666666,6,1.0,,1.0
2026-08-09,ecommerce,47,-0.8085106382978723,-0.6454787234042553,0.8936170212765957,77,1.6382978723404256,1.2765957446808511,1.0
2026-08-10,ride_hailing,21,-0.5714285714285714,-0.4608619047619048,0.6666666666666666,5,0.23809523809523808,1.5238095238095237,1.0
2026-08-10,,9,-0.5555555555555556,-0.39465555555555554,0.5555555555555556,0,0.0,,1.0
2026-08-10,airline,2,-1.0,-0.7659,1.0,10,5.0,1.0,1.0
2026-08-10,ecommerce,56,-0.75,-0.5930410714285713,0.8571428571428571,120,2.142857142857143,1.5892857142857142,1.0
2026-08-10,food_delivery,87,-0.7931034482758621,-0.6336540229885057,0.8505747126436781,365,4.195402298850575,1.2758620689655173,1.0
2026-08-10,parcel_courier,4,-0.75,-0.488275,0.75,59,14.75,1.6666666666666667,1.0
2026-08-10,quick_commerce,28,-0.7857142857142857,-0.6065142857142857,0.8571428571428571,23,0.8214285714285714,1.0,1.0
2026-08-10,telecom_isp,19,-0.631578947368421,-0.503821052631579,0.7368421052631579,15,0.7894736842105263,1.8421052631578947,1.0
2026-08-11,quick_commerce,35,-0.8857142857142857,-0.67712,0.9142857142857143,22,0.6285714285714286,1.2571428571428571,1.0
2026-08-11,telecom_isp,20,-0.8,-0.58086,0.9,53,2.65,1.3,1.0
2026-08-11,parcel_courier,10,-0.5,-0.379,0.7,7,0.7,1.125,1.0
2026-08-11,ride_hailing,24,-0.9166666666666666,-0.6596166666666666,0.9583333333333334,32,1.3333333333333333,1.2083333333333333,1.0
2026-08-11,ecommerce,66,-0.7121212121212122,-0.5569151515151515,0.8181818181818182,212,3.212121212121212,1.4,1.0
2026-08-11,,10,-0.6,-0.36712,0.6,2,0.2,,1.0
2026-08-11,food_delivery,87,-0.8620689655172413,-0.6529758620689655,0.9195402298850575,68,0.7816091954022989,1.3103448275862069,1.0
2026-08-11,airline,7,-0.42857142857142855,-0.2577428571428571,0.7142857142857143,4,0.5714285714285714,1.5714285714285714,1.0
2026-08-12,ride_hailing,27,-0.6666666666666666,-0.5133074074074074,0.7777777777777778,22,0.8148148148148148,1.9259259259259258,1.0
2026-08-12,quick_commerce,31,-0.9354838709677419,-0.7042032258064517,0.967741935483871,19,0.6129032258064516,1.3225806451612903,1.0
2026-08-12,parcel_courier,8,-0.75,-0.514975,0.875,30,3.75,1.5714285714285714,1.0
2026-08-12,telecom_isp,17,-0.7647058823529411,-0.5703705882352941,0.8235294117647058,28,1.6470588235294117,1.2941176470588236,1.0
2026-08-12,ecommerce,61,-0.6557377049180327,-0.5026508196721311,0.8032786885245902,77,1.2622950819672132,1.6,1.0
2026-08-12,airline,2,0.0,-0.01970000000000005,0.5,2,1.0,3.0,1.0
2026-08-12,,10,-0.7,-0.44202,0.8,4,0.4,,1.0
2026-08-12,food_delivery,65,-0.7384615384615385,-0.5631861538461539,0.8307692307692308,70,1.0769230769230769,1.2923076923076924,1.0
2026-08-13,,16,-0.75,-0.442925,0.8125,4,0.25,,1.0
2026-08-13,ecommerce,66,-0.7272727272727273,-0.5210606060606061,0.8181818181818182,70,1.0606060606060606,1.4461538461538461,1.0
2026-08-13,food_delivery,71,-0.8028169014084507,-0.6344450704225352,0.8873239436619719,104,1.4647887323943662,1.3428571428571427,1.0
2026-08-13,parcel_courier,12,-0.5833333333333334,-0.42944999999999994,0.75,10,0.8333333333333334,1.0833333333333333,1.0
2026-08-13,quick_commerce,28,-0.7857142857142857,-0.5925178571428571,0.8214285714285714,10,0.35714285714285715,1.2857142857142858,1.0
2026-08-13,ride_hailing,26,-0.7692307692307693,-0.5775230769230769,0.8461538461538461,32,1.2307692307692308,1.4615384615384615,1.0
2026-08-13,telecom_isp,16,-0.8125,-0.59135,0.875,19,1.1875,1.1875,1.0
2026-08-13,airline,1,-1.0,-0.7912,1.0,0,0.0,1.0,1.0
2026-08-14,parcel_courier,21,-0.8095238095238095,-0.6398809523809523,0.9047619047619048,10,0.47619047619047616,1.2857142857142858,1.0
2026-08-14,telecom_isp,13,-0.6153846153846154,-0.4529153846153846,0.6923076923076923,28,2.1538461538461537,1.1538461538461537,1.0
2026-08-14,ride_hailing,20,-0.9,-0.64386,0.9,26,1.3,1.4736842105263157,1.0
2026-08-14,quick_commerce,26,-0.7692307692307693,-0.6062307692307692,0.8461538461538461,23,0.8846153846153846,1.2692307692307692,1.0
2026-08-14,food_delivery,96,-0.8125,-0.6389979166666667,0.8541666666666666,420,4.375,1.2421052631578948,1.0
2026-08-14,airline,2,-1.0,-0.8805499999999999,1.0,1,0.5,1.0,1.0
2026-08-14,,12,-0.3333333333333333,-0.11916666666666668,0.5,11,0.9166666666666666,,1.0
2026-08-14,ecommerce,66,-0.8333333333333334,-0.6374,0.8939393939393939,119,1.803030303030303,1.5151515151515151,1.0
2026-08-15,,3,0.3333333333333333,0.16356666666666667,0.0,2,0.6666666666666666,,1.0
2026-08-15,airline,3,-0.3333333333333333,-0.4017,0.6666666666666666,0,0.0,2.3333333333333335,1.0
2026-08-15,ecommerce,68,-0.7941176470588235,-0.6278558823529412,0.8529411764705882,91,1.338235294117647,1.338235294117647,1.0
2026-08-15,food_delivery,68,-0.8382352941176471,-0.6570367647058823,0.8970588235294118,134,1.9705882352941178,1.4264705882352942,1.0
2026-08-15,parcel_courier,5,-0.6,-0.51692,0.8,3,0.6,2.2,1.0
2026-08-15,quick_commerce,36,-0.7777777777777778,-0.5815888888888889,0.8611111111111112,44,1.2222222222222223,1.4444444444444444,1.0
2026-08-15,ride_hailing,20,-0.65,-0.46206499999999995,0.8,4,0.2,1.65,1.0
2026-08-15,telecom_isp,17,-0.7058823529411765,-0.5172705882352941,0.7647058823529411,275,16.176470588235293,1.2352941176470589,1.0
2026-08-16,telecom_isp,16,-0.75,-0.59348125,0.8125,26,1.625,1.1875,1.0
2026-08-16,ride_hailing,23,-0.5652173913043478,-0.4390130434782609,0.7391304347826086,20,0.8695652173913043,2.0869565217391304,1.0
2026-08-16,quick_commerce,25,-0.96,-0.7484839999999999,0.96,16,0.64,1.3333333333333333,1.0
2026-08-16,parcel_courier,6,0.0,-0.07706666666666667,0.3333333333333333,26,4.333333333333333,1.5,1.0
2026-08-16,,13,-0.38461538461538464,-0.16192307692307692,0.5384615384615384,5,0.38461538461538464,,1.0
