date,estimated_n,estimated_se,census_n,sampled_n,census_thumbs
2026-08-06,698.1,119.14344295847758,9601,755,3510
2026-08-07,690.3,68.27254206487407,9917,2003,4218
2026-08-08,812.1999999999999,79.78909699952744,11239,1988,3066
2026-08-09,757.6,82.92146887266289,11157,1966,4749
2026-08-10,684.6,60.219681168202804,9844,1917,2623
2026-08-11,799.7,68.73499836327925,9874,2007,4609
2026-08-12,667.1,60.84447386575054,9918,1990,2623
2026-08-13,784.1,74.12253368578276,9683,1993,5141
2026-08-14,775.4,75.39900529847857,9908,2038,2669
2026-08-15,798.0,82.64774649075436,11067,1981,2615
2026-08-16,845.8,88.56223800243534,11113,1926,4865
2026-08-17,653.2,63.83376849285964,9295,1936,2889
2026-08-18,904.4,78.36548985363392,9777,1953,3134
2026-08-19,947.6,82.20961014382686,9559,2019,4700
2026-08-20,675.4,66.82439674250715,9119,1974,3605
2026-08-21,846.1999999999999,81.0488741439386,8875,1990,6042
2026-08-22,738.0,70.60092067388356,9427,1983,2603
2026-08-23,916.3,89.97805287957725,10129,1944,2019
2026-08-24,822.1,77.23729669013538,8642,1923,2461
2026-08-25,658.4,64.56407669904372,8588,1958,1898
2026-08-26,682.7,66.07094671638964,9066,1967,3394
2026-08-27,767.4,69.71692764314848,9364,1997,4079
2026-08-28,681.0,65.45402966968497,9867,1988,2166
2026-08-29,899.2,76.18950058899192,8979,1977,2202
2026-08-30,851.7,79.12742887267348,10003,1957,4580
2026-08-31,687.8,58.850403567010474,8465,1934,2232
2026-09-01,706.3,61.916556751809125,9256,1937,2938
2026-09-02,832.3,78.82670867161714,9637,1943,2715
2026-09-03,739.8,69.88340289367713,9748,2018,2046
2026-09-04,699.5,66.0687520693406,10113,2023,3514
2026-09-05,779.3,66.1837593371667,9846,1933,3601
2026-09-06,838.0,85.17235466981055,11084,1968,5111
2026-09-07,619.2,58.80620715536754,8864,1920,2394
2026-09-08,750.2,73.06394459649711,9267,1942,2586
2026-09-09,721.7,69.09956584523525,9383,1967,2323
2026-09-10,815.3000000000001,76.77291188954604,9180,2002,1683
2026-09-11,702.4,61.507885673302084,9437,2028,2775
2026-09-12,872.7,77.0189587049838,9756,1950,2732
2026-09-13,857.6,82.49545442022851,10576,1973,1582
2026-09-14,857.3000000000001,79.46420577845097,9669,1999,2857
2026-09-15,616.2,56.79013998926222,8685,1960,6503
2026-09-16,665.5,58.265598769771515,8688,1961,1861
2026-09-17,674.4,64.47611961028672,8884,1991,2469
2026-09-18,725.7,60.2966831591921,8828,2026,2053
2026-09-19,720.5,62.891970870692234,8410,1972,754
